name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_main_address,addresses_type,values_value,values_outstanding,secondary_filters_name,secondary_filters_tree,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date,año_creacion,mes_creacion,dia_semana_creacion,categoria_centro,periodo_creacion,numero_direccion,categoria_direccion,decada,antiguedad,categoria_antiguedad,numero_direccion_cat,coordenadas_validas,datos_validos
Escola per a Infants i Adolescents,2013-05-30 22:00:00+00:00,2022-09-17 05:54:54.692414+00:00,,,352507,Pg Vall d'Hebron,119,40,Montbau,7,Horta-Guinardó,8035,True,,934893100,True,Ensenyament infantil (3-6 anys),651,428430.55465668254,4586630.37210656,41.42804943371883,2.1434499797388105,,,,2013,5,Thursday,Educación Infantil,2010s,119,Alto,2010,11,Establecido,Normal,True,True
Escola per a Infants i Adolescents,2013-05-30 22:00:00+00:00,2022-09-17 05:54:54.692414+00:00,,,352507,Pg Vall d'Hebron,119,40,Montbau,7,Horta-Guinardó,8035,True,,934893100,True,Educació primària,651,428430.55465668254,4586630.37210656,41.42804943371883,2.1434499797388105,,,,2013,5,Thursday,Educación Primaria,2010s,119,Alto,2010,11,Establecido,Normal,True,True
Escola per a Infants i Adolescents,2013-05-30 22:00:00+00:00,2022-09-17 05:54:54.692414+00:00,,,352507,Pg Vall d'Hebron,119,40,Montbau,7,Horta-Guinardó,8035,True,,934893100,True,Educació secundària,651,428430.55465668254,4586630.37210656,41.42804943371883,2.1434499797388105,,,,2013,5,Thursday,Educación Secundaria y FP,2010s,119,Alto,2010,11,Establecido,Normal,True,True
Centre de Transferència de Tecnologia de la Universitat Politècnica de Catalunya,1989-02-12 23:00:00+00:00,2023-02-01 15:52:22.535665+00:00,,,118408,Pl Eusebi Güell,6,21,Pedralbes,4,Les Corts,8034,True,,934017126,True,Universitats,651,425961.0995401115,4582480.263040692,41.39044758234289,2.1144064064040826,,,,1989,2,Sunday,Educación Superior,1980s,6,Bajo,1980,35,Histórico,Bajo,True,True
Escola Casas,1987-09-29 23:00:00+00:00,2022-06-08 19:31:12.034324+00:00,,,305507,C Sant Joan de Malta,44,65,el Clot,10,Sant Martí,8018,True,,933004265,True,Ensenyament infantil (3-6 anys),651,432533.8432695935,4584417.862516701,41.408477172101314,2.19280049740468,,,,1987,9,Tuesday,Educación Infantil,1980s,44,Bajo,1980,37,Histórico,Normal,True,True
Escola Casas,1987-09-29 23:00:00+00:00,2022-06-08 19:31:12.034324+00:00,,,305507,C Sant Joan de Malta,44,65,el Clot,10,Sant Martí,8018,True,,933004265,True,Educació primària,651,432533.8432695935,4584417.862516701,41.408477172101314,2.19280049740468,,,,1987,9,Tuesday,Educación Primaria,1980s,44,Bajo,1980,37,Histórico,Normal,True,True
Escola Catalònia,1989-03-01 23:00:00+00:00,2021-05-04 08:20:09.641057+00:00,,,253902,C Perú,195,71,Provençals del Poblenou,10,Sant Martí,8020,True,,933076366,True,Ensenyament infantil (3-6 anys),651,433255.111167792,4584900.318955642,41.41288273565778,2.201376087453191,,,,1989,3,Wednesday,Educación Infantil,1980s,195,Alto,1980,35,Histórico,Alto,True,True
Escola Catalònia,1989-03-01 23:00:00+00:00,2021-05-04 08:20:09.641057+00:00,,,253902,C Perú,195,71,Provençals del Poblenou,10,Sant Martí,8020,True,,933076366,True,Educació primària,651,433255.111167792,4584900.318955642,41.41288273565778,2.201376087453191,,,,1989,3,Wednesday,Educación Primaria,1980s,195,Alto,1980,35,Histórico,Alto,True,True
Escola Collaso i Gil,2002-05-09 08:29:32+00:00,2021-10-15 11:12:20.985365+00:00,,,308505,C Sant Pau,101,1,el Raval,1,Ciutat Vella,8001,True,,934410098,True,Ensenyament infantil (3-6 anys),651,430508.2946806711,4580855.235864935,41.3762171951022,2.1689769862080865,,,,2002,5,Thursday,Educación Infantil,2000s,101,Alto,2000,22,Consolidado,Normal,True,True
Escola Collaso i Gil,2002-05-09 08:29:32+00:00,2021-10-15 11:12:20.985365+00:00,,,308505,C Sant Pau,101,1,el Raval,1,Ciutat Vella,8001,True,,934410098,True,Educació primària,651,430508.2946806711,4580855.235864935,41.3762171951022,2.1689769862080865,,,,2002,5,Thursday,Educación Primaria,2000s,101,Alto,2000,22,Consolidado,Normal,True,True
