equipament,indicador,valor,notes_dades,notes_equipament,codi_districte,nom_districte,codi_barri,nom_barri,latitud,longitud
Centre Cívic Cotxeres de Sants,InscripcionsActivitatsFormacio,11354,Inclou les dades del Centre Cívic Casinet d'Hostafrancs.,,3,Sants-Montjuïc,18,Sants,41.375264199,2.136876024
Centre Cívic Cotxeres de Sants,Metres_quadrats,3167,Inclou les dades del Centre Cívic Casinet d'Hostafrancs.,,3,Sants-Montjuïc,18,Sants,41.375264199,2.136876024
Centre Cívic del Parc - Sandaru,ActivitatsDeFormacio,97,,,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,41.391718569,2.184755119
Centre Cívic del Parc - Sandaru,InscripcionsActivitatsFormacio,1087,,,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,41.391718569,2.184755119
Centre Cívic del Parc - Sandaru,Metres_quadrats,2000,,,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,41.391718569,2.184755119
Centre Cívic Drassanes,ActivitatsDeFormacio,156,,,1,Ciutat Vella,1,el Raval,41.377644996,2.172852395
Centre Cívic Drassanes,InscripcionsActivitatsFormacio,1531,,,1,Ciutat Vella,1,el Raval,41.377644996,2.172852395
Centre Cívic Drassanes,Metres_quadrats,1074,,,1,Ciutat Vella,1,el Raval,41.377644996,2.172852395
Centre Cívic El Carmel,ActivitatsDeFormacio,92,,,7,Horta-Guinardó,37,el Carmel,41.420263994,2.151191237
Centre Cívic El Carmel,InscripcionsActivitatsFormacio,876,,,7,Horta-Guinardó,37,el Carmel,41.420263994,2.151191237
Centre Cívic El Carmel,Metres_quadrats,1054,,,7,Horta-Guinardó,37,el Carmel,41.420263994,2.151191237
Centre Cívic El Coll - La Bruguera,ActivitatsDeFormacio,38,,,6,Gràcia,29,el Coll,41.418579055,2.149896871
Centre Cívic El Coll - La Bruguera,InscripcionsActivitatsFormacio,703,,,6,Gràcia,29,el Coll,41.418579055,2.149896871
Centre Cívic El Coll - La Bruguera,Metres_quadrats,1300,,,6,Gràcia,29,el Coll,41.418579055,2.149896871
Centre Cívic El Sortidor,ActivitatsDeFormacio,126,,,3,Sants-Montjuïc,11,el Poble Sec,41.372066797,2.162531728
Centre Cívic El Sortidor,InscripcionsActivitatsFormacio,1754,,,3,Sants-Montjuïc,11,el Poble Sec,41.372066797,2.162531728
Centre Cívic El Sortidor,Metres_quadrats,905,,,3,Sants-Montjuïc,11,el Poble Sec,41.372066797,2.162531728
Centre Cívic Font de la Guatlla,ActivitatsDeFormacio,253,,,3,Sants-Montjuïc,14,la Font de la Guatlla,41.370560397,2.147508546
Centre Cívic Font de la Guatlla,InscripcionsActivitatsFormacio,2537,,,3,Sants-Montjuïc,14,la Font de la Guatlla,41.370560397,2.147508546
Centre Cívic Font de la Guatlla,Metres_quadrats,635,,,3,Sants-Montjuïc,14,la Font de la Guatlla,41.370560397,2.147508546
Centre Cívic Fort Pienc,ActivitatsDeFormacio,163,,,2,Eixample,5,el Fort Pienc,41.395557419,2.182446362
Centre Cívic Fort Pienc,InscripcionsActivitatsFormacio,2708,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,2,Eixample,5,el Fort Pienc,41.395557419,2.182446362
Centre Cívic Fort Pienc,Metres_quadrats,1306,,,2,Eixample,5,el Fort Pienc,41.395557419,2.182446362
Centre Cívic Golferichs,ActivitatsDeFormacio,381,,,2,Eixample,9,la Nova Esquerra de l'Eixample,41.380813341,2.156392101
Centre Cívic Golferichs,InscripcionsActivitatsFormacio,6806,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,2,Eixample,9,la Nova Esquerra de l'Eixample,41.380813341,2.156392101
Centre Cívic Golferichs,Metres_quadrats,1025,,,2,Eixample,9,la Nova Esquerra de l'Eixample,41.380813341,2.156392101
Centre Cívic Guinardó,ActivitatsDeFormacio,197,,,7,Horta-Guinardó,35,el Guinardó,41.416056397,2.173322891
Centre Cívic Guinardó,InscripcionsActivitatsFormacio,2098,,,7,Horta-Guinardó,35,el Guinardó,41.416056397,2.173322891
Centre Cívic Guinardó,Metres_quadrats,600,,,7,Horta-Guinardó,35,el Guinardó,41.416056397,2.173322891
Centre Cívic Joan Oliver - Pere Quart,ActivitatsDeFormacio,333,,,4,Les Corts,20,la Maternitat i Sant Ramon,41.379302926,2.127757703
Centre Cívic Joan Oliver - Pere Quart,InscripcionsActivitatsFormacio,3588,,,4,Les Corts,20,la Maternitat i Sant Ramon,41.379302926,2.127757703
Centre Cívic Joan Oliver - Pere Quart,Metres_quadrats,2433,,,4,Les Corts,20,la Maternitat i Sant Ramon,41.379302926,2.127757703
Centre Cívic Josep M. Trias i Peitx - Riera Blanca,ActivitatsDeFormacio,444,,,4,Les Corts,20,la Maternitat i Sant Ramon,41.377780128,2.121762772
Centre Cívic Josep M. Trias i Peitx - Riera Blanca,InscripcionsActivitatsFormacio,3859,,,4,Les Corts,20,la Maternitat i Sant Ramon,41.377780128,2.121762772
Centre Cívic Josep M. Trias i Peitx - Riera Blanca,Metres_quadrats,800,,,4,Les Corts,20,la Maternitat i Sant Ramon,41.377780128,2.121762772
Centre Cívic l'Elèctric,ActivitatsDeFormacio,62,,,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",41.41913796,2.097871834
Centre Cívic l'Elèctric,InscripcionsActivitatsFormacio,767,,,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",41.41913796,2.097871834
