Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2023,"Centre Cívic Can Verdaguer",ActivitatsDeFormacio,264,,,08,"Nou Barris",45,Porta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2023,"Centre Cívic Can Verdaguer",InscripcionsActivitatsFormacio,2709,,,08,"Nou Barris",45,Porta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2023,"Centre Cívic Can Verdaguer",Metres_quadrats,990,,,08,"Nou Barris",45,Porta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2023,"Centre Cívic Casa del Rellotge",ActivitatsDeFormacio,92,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
2023,"Centre Cívic Casa del Rellotge",InscripcionsActivitatsFormacio,1085,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
2023,"Centre Cívic Casa del Rellotge",Metres_quadrats,880,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
2023,"Centre Cívic Casa Groga",ActivitatsDeFormacio,40,,,07,Horta-Guinardó,39,"Sant Genís dels Agudells","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
2023,"Centre Cívic Casa Groga",InscripcionsActivitatsFormacio,380,,,07,Horta-Guinardó,39,"Sant Genís dels Agudells","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
2023,"Centre Cívic Casa Groga",Metres_quadrats,1152,,,07,Horta-Guinardó,39,"Sant Genís dels Agudells","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
2023,"Centre Cívic Casa Orlandai",ActivitatsDeFormacio,110,,,05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2023,"Centre Cívic Casa Orlandai",InscripcionsActivitatsFormacio,1200,,,05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2023,"Centre Cívic Casa Orlandai",Metres_quadrats,1066,,,05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2023,"Centre Cívic Convent de Sant Agustí",ActivitatsDeFormacio,117,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
2023,"Centre Cívic Convent de Sant Agustí",InscripcionsActivitatsFormacio,1193,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
2023,"Centre Cívic Convent de Sant Agustí",Metres_quadrats,1655,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
2023,"Centre Cívic Cotxeres Borrell",ActivitatsDeFormacio,176,,,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2023,"Centre Cívic Cotxeres Borrell",InscripcionsActivitatsFormacio,1899,,,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2023,"Centre Cívic Cotxeres Borrell",Metres_quadrats,1775,,,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
2023,"Centre Cívic Cotxeres de Sants",ActivitatsDeFormacio,1099,"Inclou les dades del Centre Cívic Casinet d'Hostafrancs.",,03,Sants-Montjuïc,18,Sants,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2023,"Centre Cívic Cotxeres de Sants",InscripcionsActivitatsFormacio,11354,"Inclou les dades del Centre Cívic Casinet d'Hostafrancs.",,03,Sants-Montjuïc,18,Sants,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2023,"Centre Cívic Cotxeres de Sants",Metres_quadrats,3167,"Inclou les dades del Centre Cívic Casinet d'Hostafrancs.",,03,Sants-Montjuïc,18,Sants,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
2023,"Centre Cívic del Parc - Sandaru",ActivitatsDeFormacio,97,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2023,"Centre Cívic del Parc - Sandaru",InscripcionsActivitatsFormacio,1087,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2023,"Centre Cívic del Parc - Sandaru",Metres_quadrats,2000,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
2023,"Centre Cívic Drassanes",ActivitatsDeFormacio,156,,,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2023,"Centre Cívic Drassanes",InscripcionsActivitatsFormacio,1531,,,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2023,"Centre Cívic Drassanes",Metres_quadrats,1074,,,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
2023,"Centre Cívic El Carmel",ActivitatsDeFormacio,92,,,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2023,"Centre Cívic El Carmel",InscripcionsActivitatsFormacio,876,,,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2023,"Centre Cívic El Carmel",Metres_quadrats,1054,,,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
2023,"Centre Cívic El Coll - La Bruguera",ActivitatsDeFormacio,38,,,06,Gràcia,29,"el Coll","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2023,"Centre Cívic El Coll - La Bruguera",InscripcionsActivitatsFormacio,703,,,06,Gràcia,29,"el Coll","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2023,"Centre Cívic El Coll - La Bruguera",Metres_quadrats,1300,,,06,Gràcia,29,"el Coll","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
2023,"Centre Cívic El Sortidor",ActivitatsDeFormacio,126,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
2023,"Centre Cívic El Sortidor",InscripcionsActivitatsFormacio,1754,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
2023,"Centre Cívic El Sortidor",Metres_quadrats,905,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
2023,"Centre Cívic Font de la Guatlla",ActivitatsDeFormacio,253,,,03,Sants-Montjuïc,14,"la Font de la Guatlla","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
2023,"Centre Cívic Font de la Guatlla",InscripcionsActivitatsFormacio,2537,,,03,Sants-Montjuïc,14,"la Font de la Guatlla","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
2023,"Centre Cívic Font de la Guatlla",Metres_quadrats,635,,,03,Sants-Montjuïc,14,"la Font de la Guatlla","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
2023,"Centre Cívic Fort Pienc",ActivitatsDeFormacio,163,,,02,Eixample,05,"el Fort Pienc","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2023,"Centre Cívic Fort Pienc",InscripcionsActivitatsFormacio,2708,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,02,Eixample,05,"el Fort Pienc","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2023,"Centre Cívic Fort Pienc",Metres_quadrats,1306,,,02,Eixample,05,"el Fort Pienc","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2023,"Centre Cívic Golferichs",ActivitatsDeFormacio,381,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2023,"Centre Cívic Golferichs",InscripcionsActivitatsFormacio,6806,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2023,"Centre Cívic Golferichs",Metres_quadrats,1025,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2023,"Centre Cívic Guinardó",ActivitatsDeFormacio,197,,,07,Horta-Guinardó,35,"el Guinardó","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.173322891
2023,"Centre Cívic Guinardó",InscripcionsActivitatsFormacio,2098,,,07,Horta-Guinardó,35,"el Guinardó","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.173322891
2023,"Centre Cívic Guinardó",Metres_quadrats,600,,,07,Horta-Guinardó,35,"el Guinardó","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.173322891
2023,"Centre Cívic Joan Oliver - Pere Quart",ActivitatsDeFormacio,333,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.127757703
2023,"Centre Cívic Joan Oliver - Pere Quart",InscripcionsActivitatsFormacio,3588,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.127757703
2023,"Centre Cívic Joan Oliver - Pere Quart",Metres_quadrats,2433,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.127757703
2023,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",ActivitatsDeFormacio,444,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2023,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",InscripcionsActivitatsFormacio,3859,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2023,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",Metres_quadrats,800,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2023,"Centre Cívic l'Elèctric",ActivitatsDeFormacio,62,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2023,"Centre Cívic l'Elèctric",InscripcionsActivitatsFormacio,767,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2023,"Centre Cívic l'Elèctric",Metres_quadrats,566,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2023,"Centre Cívic La Cadena",ActivitatsDeFormacio,155,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2023,"Centre Cívic La Cadena",InscripcionsActivitatsFormacio,1466,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2023,"Centre Cívic La Cadena",Metres_quadrats,333,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2023,"Centre Cívic La Casa Elizalde",ActivitatsDeFormacio,598,,,02,Eixample,07,"la Dreta de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2023,"Centre Cívic La Casa Elizalde",InscripcionsActivitatsFormacio,11809,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,02,Eixample,07,"la Dreta de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2023,"Centre Cívic La Casa Elizalde",Metres_quadrats,1800,,,02,Eixample,07,"la Dreta de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2023,"Centre Cívic La Sagrera",ActivitatsDeFormacio,145,,,09,"Sant Andreu",61,"la Sagrera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2023,"Centre Cívic La Sagrera",InscripcionsActivitatsFormacio,1590,,,09,"Sant Andreu",61,"la Sagrera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2023,"Centre Cívic La Sagrera",Metres_quadrats,903,,,09,"Sant Andreu",61,"la Sagrera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2023,"Centre Cívic La Sedeta",ActivitatsDeFormacio,491,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2023,"Centre Cívic La Sedeta",InscripcionsActivitatsFormacio,8147,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2023,"Centre Cívic La Sedeta",Metres_quadrats,1287,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2023,"Centre Cívic Matas i Ramis",ActivitatsDeFormacio,92,,,07,Horta-Guinardó,43,Horta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2023,"Centre Cívic Matas i Ramis",InscripcionsActivitatsFormacio,1188,,,07,Horta-Guinardó,43,Horta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2023,"Centre Cívic Matas i Ramis",Metres_quadrats,637,,,07,Horta-Guinardó,43,Horta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2023,"Centre Cívic Navas",ActivitatsDeFormacio,399,,,09,"Sant Andreu",63,Navas,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2023,"Centre Cívic Navas",InscripcionsActivitatsFormacio,4162,,,09,"Sant Andreu",63,Navas,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2023,"Centre Cívic Navas",Metres_quadrats,1200,,,09,"Sant Andreu",63,Navas,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2023,"Centre Cívic Pati Llimona",ActivitatsDeFormacio,221,,,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2023,"Centre Cívic Pati Llimona",InscripcionsActivitatsFormacio,2054,,,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2023,"Centre Cívic Pati Llimona",Metres_quadrats,1900,,,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2023,"Centre Cívic Pere Pruna",ActivitatsDeFormacio,51,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2023,"Centre Cívic Pere Pruna",InscripcionsActivitatsFormacio,746,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2023,"Centre Cívic Pere Pruna",Metres_quadrats,287,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2023,"Centre Cívic Sagrada Família",ActivitatsDeFormacio,325,"Part del centre en obres i s'ha reduït la programació.",,02,Eixample,06,"la Sagrada Família","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2023,"Centre Cívic Sagrada Família",InscripcionsActivitatsFormacio,3580,"Part del centre en obres i s'ha reduït la programació.",,02,Eixample,06,"la Sagrada Família","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2023,"Centre Cívic Sagrada Família",Metres_quadrats,1900,,,02,Eixample,06,"la Sagrada Família","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2023,"Centre Cívic Sant Andreu",ActivitatsDeFormacio,118,,,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2023,"Centre Cívic Sant Andreu",InscripcionsActivitatsFormacio,1647,,,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2023,"Centre Cívic Sant Andreu",Metres_quadrats,900,,,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2023,"Centre Cívic Sant Martí",ActivitatsDeFormacio,141,,,10,"Sant Martí",72,"Sant Martí de Provençals","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2023,"Centre Cívic Sant Martí",InscripcionsActivitatsFormacio,1829,,,10,"Sant Martí",72,"Sant Martí de Provençals","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2023,"Centre Cívic Sant Martí",Metres_quadrats,5470,,,10,"Sant Martí",72,"Sant Martí de Provençals","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2023,"Centre Cívic Sarrià",ActivitatsDeFormacio,165,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
