Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2023,"Centre Cívic Sarrià",InscripcionsActivitatsFormacio,1733,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2023,"Centre Cívic Sarrià",Metres_quadrats,1011,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2023,"Centre Cívic Teixonera",ActivitatsDeFormacio,117,,,07,Horta-Guinardó,38,"la Teixonera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2023,"Centre Cívic Teixonera",InscripcionsActivitatsFormacio,1335,,,07,Horta-Guinardó,38,"la Teixonera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2023,"Centre Cívic Teixonera",Metres_quadrats,841,,,07,Horta-Guinardó,38,"la Teixonera","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2023,"Centre Cívic Tomasa Cuevas - Les Corts",ActivitatsDeFormacio,116,,,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
2023,"Centre Cívic Tomasa Cuevas - Les Corts",InscripcionsActivitatsFormacio,818,,,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
2023,"Centre Cívic Tomasa Cuevas - Les Corts",Metres_quadrats,1603,,,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
2023,"Centre Cívic Torre Llobeta",ActivitatsDeFormacio,139,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
2023,"Centre Cívic Torre Llobeta",InscripcionsActivitatsFormacio,1769,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
2023,"Centre Cívic Torre Llobeta",Metres_quadrats,738,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
2023,"Centre Cívic Trinitat Vella",ActivitatsDeFormacio,85,,,09,"Sant Andreu",57,"la Trinitat Vella","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618627,2.191189600
2023,"Centre Cívic Trinitat Vella",InscripcionsActivitatsFormacio,848,,,09,"Sant Andreu",57,"la Trinitat Vella","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618627,2.191189600
2023,"Centre Cívic Trinitat Vella",Metres_quadrats,1650,,,09,"Sant Andreu",57,"la Trinitat Vella","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618627,2.191189600
2023,"Centre Cívic Urgell",ActivitatsDeFormacio,414,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2023,"Centre Cívic Urgell",InscripcionsActivitatsFormacio,9591,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2023,"Centre Cívic Urgell",Metres_quadrats,953,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2023,"Centre Cívic Vallvidrera Vázquez Montalbán",ActivitatsDeFormacio,77,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
2023,"Centre Cívic Vallvidrera Vázquez Montalbán",InscripcionsActivitatsFormacio,942,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
2023,"Centre Cívic Vallvidrera Vázquez Montalbán",Metres_quadrats,618,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
2023,"Centre Cívic Vil·la Florida",ActivitatsDeFormacio,196,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405337410,2.135294028
2023,"Centre Cívic Vil·la Florida",InscripcionsActivitatsFormacio,2550,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405337410,2.135294028
2023,"Centre Cívic Vil·la Florida",Metres_quadrats,1574,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405337410,2.135294028
2023,"Centre Cívic Vil·la Urània",ActivitatsDeFormacio,351,,,05,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2023,"Centre Cívic Vil·la Urània",InscripcionsActivitatsFormacio,4055,,,05,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2023,"Centre Cívic Vil·la Urània",Metres_quadrats,3415,,,05,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2023,"Centre Cívic Zona Nord",ActivitatsDeFormacio,93,,,08,"Nou Barris",55,"Ciutat Meridiana","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2023,"Centre Cívic Zona Nord",InscripcionsActivitatsFormacio,834,,,08,"Nou Barris",55,"Ciutat Meridiana","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2023,"Centre Cívic Zona Nord",Metres_quadrats,2418,,,08,"Nou Barris",55,"Ciutat Meridiana","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2023,"Centre Cultural Albareda",ActivitatsDeFormacio,115,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934,2.173269239
2023,"Centre Cultural Albareda",InscripcionsActivitatsFormacio,1297,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934,2.173269239
2023,"Centre Cultural Albareda",Metres_quadrats,1473,,,03,Sants-Montjuïc,11,"el Poble Sec","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934,2.173269239
2023,"Centre Cultural la Farinera del Clot",ActivitatsDeFormacio,120,,,10,"Sant Martí",65,"el Clot","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599,2.188442671
2023,"Centre Cultural la Farinera del Clot",InscripcionsActivitatsFormacio,1352,,,10,"Sant Martí",65,"el Clot","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599,2.188442671
2023,"Centre Cultural la Farinera del Clot",Metres_quadrats,2634,,,10,"Sant Martí",65,"el Clot","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599,2.188442671
